DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter975,Iron,DDInter582,Dolutegravir,Major
DDInter582,Dolutegravir,DDInter725,Ferrous fumarate,Major
DDInter582,Dolutegravir,DDInter726,Ferrous gluconate,Major
DDInter582,Dolutegravir,DDInter1114,Magnesium chloride,Major
DDInter582,Dolutegravir,DDInter1115,Magnesium citrate,Major
DDInter1120,Magnesium sulfate,DDInter582,Dolutegravir,Major
DDInter1019,Lamivudine,DDInter1123,Mannitol,Moderate
DDInter1683,Sodium bicarbonate,DDInter582,Dolutegravir,Major
DDInter1019,Lamivudine,DDInter1703,Sorbitol,Moderate
DDInter1802,Ticagrelor,DDInter582,Dolutegravir,Minor
DDInter108,Apixaban,DDInter3,Abametapir (topical),Moderate
DDInter379,Cilostazol,DDInter3,Abametapir (topical),Moderate
DDInter1609,Rivaroxaban,DDInter3,Abametapir (topical),Moderate
DDInter1656,Selexipag,DDInter3,Abametapir (topical),Moderate
DDInter1802,Ticagrelor,DDInter3,Abametapir (topical),Moderate
DDInter1945,Vorapaxar,DDInter3,Abametapir (topical),Moderate
DDInter1951,Warfarin,DDInter3,Abametapir (topical),Moderate
DDInter5,Abatacept,DDInter1964,Zinc chloride,Minor
DDInter6,Abciximab,DDInter9,Acalabrutinib,Major
DDInter6,Abciximab,DDInter1848,Trastuzumab emtansine,Major
DDInter56,Alteplase,DDInter6,Abciximab,Major
DDInter6,Abciximab,DDInter93,Anagrelide,Major
DDInter6,Abciximab,DDInter98,Anisindione,Major
DDInter99,Anistreplase,DDInter6,Abciximab,Major
DDInter6,Abciximab,DDInter108,Apixaban,Major
DDInter6,Abciximab,DDInter115,Ardeparin,Major
DDInter6,Abciximab,DDInter117,Argatroban,Major
DDInter6,Abciximab,DDInter20,Acetylsalicylic acid,Moderate
DDInter6,Abciximab,DDInter142,Avapritinib,Major
DDInter6,Abciximab,DDInter200,Betrixaban,Major
DDInter6,Abciximab,DDInter215,Bismuth subsalicylate,Moderate
DDInter217,Bivalirudin,DDInter6,Abciximab,Moderate
DDInter6,Abciximab,DDInter242,Bromfenac (ophthalmic),Moderate
DDInter6,Abciximab,DDInter262,Cabozantinib,Major
DDInter6,Abciximab,DDInter283,Cangrelor,Major
DDInter6,Abciximab,DDInter286,Caplacizumab,Major
DDInter6,Abciximab,DDInter291,Capsicum,Minor
DDInter6,Abciximab,DDInter336,Celecoxib,Moderate
DDInter6,Abciximab,DDInter347,Chamomile,Minor
DDInter6,Abciximab,DDInter370,Choline salicylate,Moderate
DDInter6,Abciximab,DDInter379,Cilostazol,Moderate
DDInter6,Abciximab,DDInter388,Citalopram,Moderate
DDInter6,Abciximab,DDInter410,Clomipramine,Moderate
DDInter6,Abciximab,DDInter413,Clopidogrel,Major
DDInter6,Abciximab,DDInter417,Clove,Minor
DDInter435,Collagenase clostridium histolyticum,DDInter6,Abciximab,Moderate
DDInter6,Abciximab,DDInter470,Dalteparin,Major
DDInter6,Abciximab,DDInter471,Danaparoid,Major
DDInter6,Abciximab,DDInter484,Dasatinib,Major
DDInter6,Abciximab,DDInter488,Deferasirox,Major
DDInter6,Abciximab,DDInter491,Defibrotide,Major
DDInter6,Abciximab,DDInter501,Deoxycholic acid,Moderate
DDInter6,Abciximab,DDInter505,Desirudin,Major
DDInter6,Abciximab,DDInter511,Desvenlafaxine,Moderate
DDInter6,Abciximab,DDInter518,Dexfenfluramine,Moderate
DDInter6,Abciximab,DDInter525,Dextran (low molecular weight),Major
DDInter6,Abciximab,DDInter537,Diclofenac,Moderate
DDInter6,Abciximab,DDInter538,Diclofenac (ophthalmic),Moderate
DDInter6,Abciximab,DDInter539,Diclofenac (topical),Moderate
DDInter6,Abciximab,DDInter542,Dicoumarol,Major
DDInter6,Abciximab,DDInter551,Diflunisal,Moderate
DDInter6,Abciximab,DDInter573,Dipyridamole,Major
DDInter6,Abciximab,DDInter605,Drotrecogin alfa,Major
DDInter6,Abciximab,DDInter608,Duloxetine,Moderate
DDInter6,Abciximab,DDInter621,Edoxaban,Major
DDInter6,Abciximab,DDInter645,Enoxaparin,Major
DDInter6,Abciximab,DDInter657,Epoprostenol,Moderate
DDInter6,Abciximab,DDInter659,Eptifibatide,Major
DDInter6,Abciximab,DDInter672,Escitalopram,Moderate
DDInter6,Abciximab,DDInter699,Etodolac,Moderate
DDInter6,Abciximab,DDInter717,Fenfluramine,Moderate
DDInter6,Abciximab,DDInter721,Fenoprofen,Moderate
DDInter6,Abciximab,DDInter758,Fluoxetine,Moderate
DDInter6,Abciximab,DDInter763,Flurbiprofen,Moderate
DDInter6,Abciximab,DDInter764,Flurbiprofen (ophthalmic),Moderate
DDInter6,Abciximab,DDInter770,Fluvoxamine,Moderate
DDInter6,Abciximab,DDInter775,Fondaparinux,Major
DDInter6,Abciximab,DDInter808,Garlic,Moderate
DDInter6,Abciximab,DDInter818,Ginger,Moderate
DDInter6,Abciximab,DDInter819,Ginkgo biloba,Moderate
DDInter6,Abciximab,DDInter820,Ginseng,Moderate
DDInter6,Abciximab,DDInter855,Hemin,Moderate
DDInter6,Abciximab,DDInter856,Heparin,Major
DDInter6,Abciximab,DDInter898,Ibritumomab tiuxetan,Major
DDInter6,Abciximab,DDInter899,Ibrutinib,Major
DDInter6,Abciximab,DDInter900,Ibuprofen,Moderate
DDInter6,Abciximab,DDInter903,Icosapent,Moderate
DDInter6,Abciximab,DDInter908,Iloprost,Moderate
DDInter6,Abciximab,DDInter921,Indomethacin,Moderate
DDInter6,Abciximab,DDInter926,Inotersen,Major
DDInter6,Abciximab,DDInter1839,Tositumomab (I-131),Major
DDInter6,Abciximab,DDInter1009,Ketoprofen,Moderate
DDInter6,Abciximab,DDInter1010,Ketorolac,Moderate
DDInter6,Abciximab,DDInter1011,Ketorolac (ophthalmic),Moderate
DDInter1037,Lepirudin,DDInter6,Abciximab,Major
DDInter6,Abciximab,DDInter1059,Levomilnacipran,Moderate
DDInter6,Abciximab,DDInter1135,Meclofenamic acid,Moderate
DDInter6,Abciximab,DDInter1139,Mefenamic acid,Moderate
DDInter6,Abciximab,DDInter1143,Meloxicam,Moderate
DDInter6,Abciximab,DDInter1220,Milnacipran,Moderate
DDInter6,Abciximab,DDInter1254,Nabumetone,Moderate
DDInter6,Abciximab,DDInter1266,Naproxen,Moderate
DDInter6,Abciximab,DDInter1280,Nepafenac (ophthalmic),Moderate
DDInter6,Abciximab,DDInter1296,Nintedanib,Moderate
DDInter6,Abciximab,DDInter1297,Niraparib,Moderate
DDInter6,Abciximab,DDInter1335,Omacetaxine mepesuccinate,Major
DDInter6,Abciximab,DDInter1339,Omega-3 fatty acids,Moderate
DDInter6,Abciximab,DDInter1358,Oxaprozin,Moderate
DDInter6,Abciximab,DDInter1387,Panobinostat,Major
DDInter6,Abciximab,DDInter1397,Paroxetine,Moderate
DDInter6,Abciximab,DDInter1424,Pentosan polysulfate,Moderate
DDInter6,Abciximab,DDInter1426,Pentoxifylline,Moderate
DDInter6,Abciximab,DDInter1451,Phenylbutazone,Moderate
DDInter6,Abciximab,DDInter1478,Piroxicam,Moderate
DDInter6,Abciximab,DDInter1492,Ponatinib,Major
DDInter6,Abciximab,DDInter1508,Prasugrel,Major
DDInter6,Abciximab,DDInter1566,Ramucirumab,Major
DDInter6,Abciximab,DDInter1576,Regorafenib,Major
DDInter1585,Reteplase,DDInter6,Abciximab,Major
DDInter6,Abciximab,DDInter1609,Rivaroxaban,Major
DDInter6,Abciximab,DDInter1613,Rofecoxib,Moderate
DDInter6,Abciximab,DDInter1637,Salsalate,Moderate
DDInter6,Abciximab,DDInter1659,Selumetinib,Moderate
DDInter6,Abciximab,DDInter1662,Sertraline,Moderate
DDInter6,Abciximab,DDInter1665,Sibutramine,Moderate
DDInter6,Abciximab,DDInter1633,Salicylic acid (sodium),Moderate
DDInter6,Abciximab,DDInter1712,Streptokinase,Major
DDInter6,Abciximab,DDInter1729,Sulindac,Moderate
DDInter6,Abciximab,DDInter1732,Suprofen (ophthalmic),Moderate
DDInter1764,Tenecteplase,DDInter6,Abciximab,Major
DDInter6,Abciximab,DDInter1802,Ticagrelor,Moderate
DDInter6,Abciximab,DDInter1804,Ticlopidine,Major
DDInter6,Abciximab,DDInter1812,Tinzaparin,Major
DDInter6,Abciximab,DDInter1817,Tipranavir,Major
DDInter6,Abciximab,DDInter1818,Tirofiban,Major
DDInter6,Abciximab,DDInter1831,Tolmetin,Moderate
DDInter6,Abciximab,DDInter1838,Tositumomab,Major
DDInter6,Abciximab,DDInter1852,Treprostinil,Moderate
DDInter6,Abciximab,DDInter1892,Turmeric,Minor
DDInter1905,Urokinase,DDInter6,Abciximab,Major
DDInter6,Abciximab,DDInter1910,Valdecoxib,Moderate
DDInter6,Abciximab,DDInter1927,Venlafaxine,Moderate
DDInter6,Abciximab,DDInter1929,Verteporfin,Moderate
DDInter6,Abciximab,DDInter1935,Vilazodone,Moderate
DDInter6,Abciximab,DDInter1943,Vitamin E,Moderate
DDInter6,Abciximab,DDInter1945,Vorapaxar,Major
DDInter6,Abciximab,DDInter1948,Vortioxetine,Moderate
DDInter6,Abciximab,DDInter1951,Warfarin,Major
DDInter6,Abciximab,DDInter1959,Zanubrutinib,Major
DDInter1802,Ticagrelor,DDInter7,Abemaciclib,Moderate
DDInter8,Abiraterone,DDInter108,Apixaban,Moderate
DDInter8,Abiraterone,DDInter621,Edoxaban,Major
DDInter8,Abiraterone,DDInter785,Fostamatinib,Moderate
DDInter8,Abiraterone,DDInter1106,Lusutrombopag,Moderate
DDInter8,Abiraterone,DDInter1115,Magnesium citrate,Moderate
DDInter8,Abiraterone,DDInter1656,Selexipag,Moderate
DDInter1852,Treprostinil,DDInter8,Abiraterone,Moderate
DDInter225,Botulinum toxin type A,DDInter1277,Neomycin,Major
DDInter413,Clopidogrel,DDInter1377,Paclitaxel,Moderate
DDInter1377,Paclitaxel,DDInter785,Fostamatinib,Moderate
DDInter542,Dicoumarol,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter785,Fostamatinib,Moderate
DDInter1951,Warfarin,DDInter991,Isotretinoin,Moderate
DDInter413,Clopidogrel,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter785,Fostamatinib,Moderate
DDInter722,Fentanyl,DDInter1508,Prasugrel,Moderate
DDInter722,Fentanyl,DDInter1802,Ticagrelor,Moderate
DDInter56,Alteplase,DDInter9,Acalabrutinib,Major
DDInter99,Anistreplase,DDInter9,Acalabrutinib,Major
DDInter105,Antithrombin III human,DDInter9,Acalabrutinib,Major
