DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter513,Dexamethasone,DDInter582,Dolutegravir,Minor
DDInter582,Dolutegravir,DDInter625,Elagolix,Minor
DDInter582,Dolutegravir,DDInter1700,Somatrem,Minor
DDInter1699,Somatotropin,DDInter582,Dolutegravir,Minor
DDInter195,Betamethasone,DDInter1961,Zidovudine,Moderate
DDInter1961,Zidovudine,DDInter513,Dexamethasone,Moderate
DDInter1961,Zidovudine,DDInter747,Fludrocortisone,Moderate
DDInter1961,Zidovudine,DDInter885,Hydrocortisone,Moderate
DDInter1961,Zidovudine,DDInter1191,Methylprednisolone,Moderate
DDInter1961,Zidovudine,DDInter1513,Prednisolone,Moderate
DDInter1961,Zidovudine,DDInter1515,Prednisone,Moderate
DDInter1961,Zidovudine,DDInter1855,Triamcinolone,Moderate
DDInter195,Betamethasone,DDInter3,Abametapir (topical),Moderate
DDInter381,Cinacalcet,DDInter3,Abametapir (topical),Moderate
DDInter492,Deflazacort,DDInter3,Abametapir (topical),Moderate
DDInter513,Dexamethasone,DDInter3,Abametapir (topical),Moderate
DDInter595,Doxercalciferol,DDInter3,Abametapir (topical),Moderate
DDInter747,Fludrocortisone,DDInter3,Abametapir (topical),Moderate
DDInter885,Hydrocortisone,DDInter3,Abametapir (topical),Moderate
DDInter1191,Methylprednisolone,DDInter3,Abametapir (topical),Moderate
DDInter1351,Osilodrostat,DDInter3,Abametapir (topical),Moderate
DDInter1394,Paricalcitol,DDInter3,Abametapir (topical),Moderate
DDInter1513,Prednisolone,DDInter3,Abametapir (topical),Moderate
DDInter1515,Prednisone,DDInter3,Abametapir (topical),Moderate
DDInter1855,Triamcinolone,DDInter3,Abametapir (topical),Moderate
DDInter513,Dexamethasone,DDInter7,Abemaciclib,Moderate
DDInter625,Elagolix,DDInter7,Abemaciclib,Moderate
DDInter1351,Osilodrostat,DDInter7,Abemaciclib,Moderate
DDInter1700,Somatrem,DDInter7,Abemaciclib,Moderate
DDInter1699,Somatotropin,DDInter7,Abemaciclib,Moderate
DDInter8,Abiraterone,DDInter625,Elagolix,Moderate
DDInter8,Abiraterone,DDInter1351,Osilodrostat,Moderate
DDInter1375,Oxytocin,DDInter8,Abiraterone,Moderate
