DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter127,Asparaginase Escherichia coli,DDInter1,Abacavir,Moderate
DDInter1,Abacavir,DDInter228,Brentuximab vedotin,Moderate
DDInter1,Abacavir,DDInter262,Cabozantinib,Moderate
DDInter392,Cladribine,DDInter1,Abacavir,Moderate
DDInter405,Clofarabine,DDInter1,Abacavir,Moderate
DDInter655,Epirubicin,DDInter1,Abacavir,Moderate
DDInter1,Abacavir,DDInter905,Idelalisib,Moderate
DDInter947,Interferon beta-1a,DDInter1,Abacavir,Moderate
DDInter948,Interferon beta-1b,DDInter1,Abacavir,Moderate
DDInter1,Abacavir,DDInter1033,Leflunomide,Major
DDInter1174,Methotrexate,DDInter1,Abacavir,Moderate
DDInter1404,Pegaspargase,DDInter1,Abacavir,Moderate
DDInter1,Abacavir,DDInter1409,Peginterferon beta-1a,Moderate
DDInter1,Abacavir,DDInter1771,Teriflunomide,Major
DDInter1814,Tioguanine,DDInter1,Abacavir,Moderate
DDInter1,Abacavir,DDInter1840,Trabectedin,Moderate
DDInter71,Aminoglutethimide,DDInter582,Dolutegravir,Minor
DDInter582,Dolutegravir,DDInter107,Apalutamide,Major
DDInter127,Asparaginase Escherichia coli,DDInter1019,Lamivudine,Moderate
DDInter202,Bexarotene,DDInter1019,Lamivudine,Major
DDInter1019,Lamivudine,DDInter228,Brentuximab vedotin,Moderate
DDInter1019,Lamivudine,DDInter262,Cabozantinib,Moderate
DDInter392,Cladribine,DDInter1019,Lamivudine,Moderate
DDInter405,Clofarabine,DDInter1019,Lamivudine,Moderate
DDInter448,Crizotinib,DDInter582,Dolutegravir,Minor
DDInter458,Cyclosporine,DDInter582,Dolutegravir,Minor
DDInter484,Dasatinib,DDInter582,Dolutegravir,Minor
DDInter649,Enzalutamide,DDInter582,Dolutegravir,Minor
DDInter655,Epirubicin,DDInter1019,Lamivudine,Moderate
DDInter1019,Lamivudine,DDInter905,Idelalisib,Moderate
DDInter909,Imatinib,DDInter582,Dolutegravir,Minor
DDInter947,Interferon beta-1a,DDInter1019,Lamivudine,Moderate
DDInter948,Interferon beta-1b,DDInter1019,Lamivudine,Moderate
DDInter582,Dolutegravir,DDInter1000,Ivosidenib,Minor
DDInter1019,Lamivudine,DDInter1033,Leflunomide,Major
DDInter582,Dolutegravir,DDInter1094,Lorlatinib,Minor
DDInter1174,Methotrexate,DDInter1019,Lamivudine,Moderate
DDInter1293,Nilotinib,DDInter582,Dolutegravir,Minor
DDInter1404,Pegaspargase,DDInter1019,Lamivudine,Moderate
DDInter1019,Lamivudine,DDInter1409,Peginterferon beta-1a,Moderate
DDInter1576,Regorafenib,DDInter582,Dolutegravir,Minor
DDInter1702,Sorafenib,DDInter582,Dolutegravir,Minor
DDInter1019,Lamivudine,DDInter1771,Teriflunomide,Major
