DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter576,Disulfiram,DDInter1,Abacavir,Minor
DDInter1961,Zidovudine,DDInter134,Atovaquone,Minor
DDInter1961,Zidovudine,DDInter359,Chloroquine,Moderate
DDInter1961,Zidovudine,DDInter893,Hydroxychloroquine,Moderate
DDInter1961,Zidovudine,DDInter1044,Levamisole,Moderate
DDInter1961,Zidovudine,DDInter1420,Pentamidine,Moderate
DDInter1550,Pyrimethamine,DDInter1961,Zidovudine,Moderate
DDInter1961,Zidovudine,DDInter1875,Trimetrexate,Moderate
DDInter35,Albendazole,DDInter3,Abametapir (topical),Moderate
DDInter852,Halofantrine,DDInter3,Abametapir (topical),Moderate
DDInter998,Ivermectin,DDInter3,Abametapir (topical),Moderate
DDInter1140,Mefloquine,DDInter3,Abametapir (topical),Moderate
DDInter1510,Praziquantel,DDInter3,Abametapir (topical),Moderate
DDInter1557,Quinine,DDInter3,Abametapir (topical),Moderate
DDInter1792,Thiabendazole,DDInter3,Abametapir (topical),Moderate
DDInter1811,Tinidazole,DDInter3,Abametapir (topical),Moderate
DDInter359,Chloroquine,DDInter8,Abiraterone,Moderate
DDInter852,Halofantrine,DDInter8,Abiraterone,Major
DDInter893,Hydroxychloroquine,DDInter8,Abiraterone,Moderate
DDInter1140,Mefloquine,DDInter8,Abiraterone,Moderate
DDInter1202,Metronidazole,DDInter8,Abiraterone,Minor
DDInter1356,Oxamniquine,DDInter8,Abiraterone,Moderate
DDInter1420,Pentamidine,DDInter8,Abiraterone,Moderate
DDInter1520,Primaquine,DDInter8,Abiraterone,Moderate
DDInter1557,Quinine,DDInter8,Abiraterone,Moderate
DDInter8,Abiraterone,DDInter1863,Triclabendazole,Moderate
DDInter1377,Paclitaxel,DDInter183,Benznidazole,Moderate
DDInter359,Chloroquine,DDInter1377,Paclitaxel,Moderate
DDInter576,Disulfiram,DDInter1377,Paclitaxel,Moderate
DDInter1377,Paclitaxel,DDInter893,Hydroxychloroquine,Moderate
DDInter1202,Metronidazole,DDInter1377,Paclitaxel,Moderate
DDInter1557,Quinine,DDInter1377,Paclitaxel,Moderate
DDInter1377,Paclitaxel,DDInter1649,Secnidazole,Moderate
DDInter1811,Tinidazole,DDInter1377,Paclitaxel,Moderate
DDInter1072,Lindane,DDInter722,Fentanyl,Moderate
DDInter11,Acarbose,DDInter1420,Pentamidine,Moderate
DDInter1066,Lidocaine,DDInter35,Albendazole,Minor
DDInter1066,Lidocaine,DDInter1072,Lindane,Moderate
DDInter1066,Lidocaine,DDInter1140,Mefloquine,Moderate
DDInter1066,Lidocaine,DDInter1299,Nitazoxanide,Moderate
DDInter359,Chloroquine,DDInter12,Acebutolol,Minor
DDInter1140,Mefloquine,DDInter12,Acebutolol,Moderate
DDInter263,Caffeine,DDInter576,Disulfiram,Minor
DDInter1072,Lindane,DDInter556,Dihydrocodeine,Moderate
DDInter263,Caffeine,DDInter1792,Thiabendazole,Moderate
DDInter429,Codeine,DDInter359,Chloroquine,Moderate
DDInter429,Codeine,DDInter852,Halofantrine,Moderate
DDInter429,Codeine,DDInter893,Hydroxychloroquine,Moderate
DDInter429,Codeine,DDInter1072,Lindane,Moderate
DDInter429,Codeine,DDInter1356,Oxamniquine,Moderate
DDInter429,Codeine,DDInter1520,Primaquine,Moderate
DDInter429,Codeine,DDInter1557,Quinine,Moderate
DDInter1841,Tramadol,DDInter359,Chloroquine,Major
DDInter1841,Tramadol,DDInter852,Halofantrine,Major
DDInter1841,Tramadol,DDInter893,Hydroxychloroquine,Major
DDInter1841,Tramadol,DDInter1072,Lindane,Major
DDInter1841,Tramadol,DDInter1140,Mefloquine,Major
DDInter1841,Tramadol,DDInter1202,Metronidazole,Minor
DDInter1841,Tramadol,DDInter1356,Oxamniquine,Major
DDInter1841,Tramadol,DDInter1420,Pentamidine,Moderate
DDInter1841,Tramadol,DDInter1475,Piperazine,Major
DDInter1841,Tramadol,DDInter1520,Primaquine,Moderate
DDInter1841,Tramadol,DDInter1557,Quinine,Moderate
DDInter1841,Tramadol,DDInter1863,Triclabendazole,Moderate
DDInter359,Chloroquine,DDInter15,Acetazolamide,Moderate
DDInter15,Acetazolamide,DDInter893,Hydroxychloroquine,Moderate
DDInter359,Chloroquine,DDInter712,Famotidine,Moderate
DDInter712,Famotidine,DDInter852,Halofantrine,Moderate
DDInter712,Famotidine,DDInter893,Hydroxychloroquine,Moderate
DDInter1140,Mefloquine,DDInter712,Famotidine,Moderate
DDInter1202,Metronidazole,DDInter712,Famotidine,Minor
DDInter1420,Pentamidine,DDInter712,Famotidine,Moderate
DDInter712,Famotidine,DDInter1520,Primaquine,Moderate
DDInter1557,Quinine,DDInter712,Famotidine,Moderate
DDInter712,Famotidine,DDInter1863,Triclabendazole,Moderate
DDInter1420,Pentamidine,DDInter1559,Rabeprazole,Moderate
DDInter359,Chloroquine,DDInter776,Formoterol,Moderate
DDInter776,Formoterol,DDInter852,Halofantrine,Moderate
DDInter776,Formoterol,DDInter893,Hydroxychloroquine,Moderate
DDInter1140,Mefloquine,DDInter776,Formoterol,Moderate
DDInter1420,Pentamidine,DDInter776,Formoterol,Moderate
DDInter776,Formoterol,DDInter1520,Primaquine,Moderate
DDInter1557,Quinine,DDInter776,Formoterol,Moderate
DDInter776,Formoterol,DDInter1863,Triclabendazole,Moderate
DDInter598,Doxycycline,DDInter1557,Quinine,Minor
DDInter1044,Levamisole,DDInter415,Clostridium tetani toxoid antigen (formaldehyde inactivated),Moderate
DDInter1875,Trimetrexate,DDInter415,Clostridium tetani toxoid antigen (formaldehyde inactivated),Moderate
DDInter1140,Mefloquine,DDInter1291,Nifedipine,Moderate
DDInter27,Adalimumab,DDInter183,Benznidazole,Moderate
DDInter27,Adalimumab,DDInter359,Chloroquine,Moderate
DDInter27,Adalimumab,DDInter576,Disulfiram,Moderate
DDInter27,Adalimumab,DDInter893,Hydroxychloroquine,Moderate
DDInter27,Adalimumab,DDInter1044,Levamisole,Major
DDInter27,Adalimumab,DDInter1202,Metronidazole,Moderate
DDInter27,Adalimumab,DDInter1520,Primaquine,Major
DDInter27,Adalimumab,DDInter1649,Secnidazole,Moderate
DDInter27,Adalimumab,DDInter1811,Tinidazole,Moderate
DDInter27,Adalimumab,DDInter1875,Trimetrexate,Major
DDInter359,Chloroquine,DDInter31,Adenosine,Moderate
DDInter31,Adenosine,DDInter852,Halofantrine,Major
DDInter31,Adenosine,DDInter893,Hydroxychloroquine,Moderate
DDInter1140,Mefloquine,DDInter31,Adenosine,Moderate
DDInter31,Adenosine,DDInter1420,Pentamidine,Moderate
DDInter31,Adenosine,DDInter1520,Primaquine,Moderate
DDInter1557,Quinine,DDInter31,Adenosine,Major
DDInter31,Adenosine,DDInter1863,Triclabendazole,Moderate
DDInter1189,Methylphenidate,DDInter1072,Lindane,Moderate
DDInter1848,Trastuzumab emtansine,DDInter183,Benznidazole,Moderate
DDInter359,Chloroquine,DDInter1848,Trastuzumab emtansine,Moderate
DDInter576,Disulfiram,DDInter1848,Trastuzumab emtansine,Moderate
DDInter893,Hydroxychloroquine,DDInter1848,Trastuzumab emtansine,Moderate
DDInter1202,Metronidazole,DDInter1848,Trastuzumab emtansine,Moderate
DDInter1848,Trastuzumab emtansine,DDInter1649,Secnidazole,Moderate
DDInter1811,Tinidazole,DDInter1848,Trastuzumab emtansine,Moderate
DDInter1557,Quinine,DDInter32,Afatinib,Moderate
DDInter1202,Metronidazole,DDInter692,Ethinylestradiol,Moderate
DDInter1061,Levonorgestrel,DDInter1222,Miltefosine,Moderate
DDInter1811,Tinidazole,DDInter692,Ethinylestradiol,Moderate
DDInter34,Agalsidase beta,DDInter359,Chloroquine,Major
DDInter257,Butalbital,DDInter1202,Metronidazole,Moderate
DDInter41,Alemtuzumab,DDInter35,Albendazole,Moderate
DDInter35,Albendazole,DDInter90,Amprenavir,Moderate
DDInter93,Anagrelide,DDInter35,Albendazole,Moderate
DDInter35,Albendazole,DDInter107,Apalutamide,Moderate
DDInter35,Albendazole,DDInter112,Aprepitant,Moderate
DDInter35,Albendazole,DDInter119,Armodafinil,Minor
DDInter35,Albendazole,DDInter178,Bendamustine,Moderate
DDInter202,Bexarotene,DDInter35,Albendazole,Moderate
DDInter35,Albendazole,DDInter210,Binimetinib,Moderate
DDInter35,Albendazole,DDInter221,Boceprevir,Moderate
DDInter35,Albendazole,DDInter223,Bosentan,Moderate
DDInter35,Albendazole,DDInter233,Brigatinib,Moderate
DDInter35,Albendazole,DDInter293,Carbamazepine,Moderate
DDInter35,Albendazole,DDInter338,Cenobamate,Moderate
DDInter380,Cimetidine,DDInter35,Albendazole,Minor
DDInter392,Cladribine,DDInter35,Albendazole,Major
DDInter419,Clozapine,DDInter35,Albendazole,Major
DDInter35,Albendazole,DDInter424,Cobicistat,Moderate
DDInter35,Albendazole,DDInter438,Conivaptan,Moderate
DDInter35,Albendazole,DDInter462,Dabrafenib,Moderate
DDInter35,Albendazole,DDInter482,Darunavir,Moderate
DDInter35,Albendazole,DDInter484,Dasatinib,Moderate
DDInter35,Albendazole,DDInter488,Deferasirox,Moderate
DDInter35,Albendazole,DDInter513,Dexamethasone,Minor
DDInter561,Diltiazem,DDInter35,Albendazole,Moderate
DDInter35,Albendazole,DDInter602,Dronedarone,Moderate
DDInter35,Albendazole,DDInter612,Duvelisib,Moderate
DDInter35,Albendazole,DDInter614,Echinacea,Moderate
DDInter35,Albendazole,DDInter624,Efavirenz,Moderate
DDInter35,Albendazole,DDInter648,Entrectinib,Moderate
DDInter35,Albendazole,DDInter649,Enzalutamide,Moderate
DDInter35,Albendazole,DDInter703,Etravirine,Moderate
DDInter35,Albendazole,DDInter714,Fedratinib,Moderate
DDInter770,Fluvoxamine,DDInter35,Albendazole,Moderate
DDInter35,Albendazole,DDInter777,Fosamprenavir,Moderate
DDInter35,Albendazole,DDInter778,Fosaprepitant,Moderate
DDInter35,Albendazole,DDInter783,Fosphenytoin,Moderate
DDInter35,Albendazole,DDInter785,Fostamatinib,Moderate
DDInter35,Albendazole,DDInter806,Ganciclovir,Moderate
DDInter842,Grepafloxacin,DDInter35,Albendazole,Moderate
DDInter35,Albendazole,DDInter905,Idelalisib,Moderate
DDInter35,Albendazole,DDInter980,Isavuconazonium,Moderate
DDInter35,Albendazole,DDInter995,Itraconazole,Moderate
DDInter35,Albendazole,DDInter997,Ivacaftor,Moderate
