DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter1,Abacavir,DDInter424,Cobicistat,Moderate
DDInter690,Ethanol,DDInter1,Abacavir,Minor
DDInter270,Calcium acetate,DDInter582,Dolutegravir,Major
DDInter1019,Lamivudine,DDInter424,Cobicistat,Moderate
DDInter488,Deferasirox,DDInter582,Dolutegravir,Minor
DDInter582,Dolutegravir,DDInter1785,Tetraferric tricitrate decahydrate,Major
DDInter582,Dolutegravir,DDInter1113,Magnesium carbonate,Major
DDInter1120,Magnesium sulfate,DDInter582,Dolutegravir,Major
DDInter1019,Lamivudine,DDInter1123,Mannitol,Moderate
DDInter1019,Lamivudine,DDInter1703,Sorbitol,Moderate
DDInter1961,Zidovudine,DDInter489,Deferiprone,Major
DDInter898,Ibritumomab tiuxetan,DDInter1961,Zidovudine,Moderate
DDInter1961,Zidovudine,DDInter952,Iobenguane (I-131),Moderate
DDInter1839,Tositumomab (I-131),DDInter1961,Zidovudine,Moderate
DDInter1961,Zidovudine,DDInter1513,Prednisolone,Moderate
DDInter1961,Zidovudine,DDInter1715,Strontium chloride Sr-89,Moderate
DDInter1838,Tositumomab,DDInter1961,Zidovudine,Moderate
DDInter263,Caffeine,DDInter3,Abametapir (topical),Moderate
DDInter424,Cobicistat,DDInter3,Abametapir (topical),Moderate
DDInter1513,Prednisolone,DDInter3,Abametapir (topical),Moderate
DDInter6,Abciximab,DDInter488,Deferasirox,Major
DDInter6,Abciximab,DDInter898,Ibritumomab tiuxetan,Major
DDInter6,Abciximab,DDInter1839,Tositumomab (I-131),Major
DDInter6,Abciximab,DDInter1838,Tositumomab,Major
DDInter424,Cobicistat,DDInter7,Abemaciclib,Major
DDInter488,Deferasirox,DDInter7,Abemaciclib,Moderate
DDInter489,Deferiprone,DDInter7,Abemaciclib,Major
DDInter1380,Palifermin,DDInter7,Abemaciclib,Moderate
DDInter1638,Samarium (153Sm) lexidronam,DDInter7,Abemaciclib,Major
DDInter1715,Strontium chloride Sr-89,DDInter7,Abemaciclib,Moderate
DDInter289,Capromab pendetide,DDInter8,Abiraterone,Moderate
DDInter8,Abiraterone,DDInter424,Cobicistat,Minor
DDInter8,Abiraterone,DDInter1110,Macimorelin,Major
DDInter1533,Promethazine,DDInter8,Abiraterone,Moderate
DDInter225,Botulinum toxin type A,DDInter1533,Promethazine,Moderate
DDInter1377,Paclitaxel,DDInter424,Cobicistat,Moderate
DDInter1377,Paclitaxel,DDInter488,Deferasirox,Moderate
DDInter1377,Paclitaxel,DDInter489,Deferiprone,Major
DDInter792,Gadobenic acid,DDInter1377,Paclitaxel,Moderate
DDInter1380,Palifermin,DDInter1377,Paclitaxel,Moderate
DDInter1377,Paclitaxel,DDInter1638,Samarium (153Sm) lexidronam,Major
DDInter1377,Paclitaxel,DDInter1715,Strontium chloride Sr-89,Moderate
DDInter690,Ethanol,DDInter991,Isotretinoin,Moderate
DDInter1513,Prednisolone,DDInter991,Isotretinoin,Moderate
DDInter1941,Vitamin A,DDInter991,Isotretinoin,Major
DDInter722,Fentanyl,DDInter92,Amyl Nitrite,Moderate
DDInter722,Fentanyl,DDInter424,Cobicistat,Major
DDInter722,Fentanyl,DDInter488,Deferasirox,Moderate
